ПРИЛОЖЕНИЕ В 
Нормативная трудоемкость на разработку программного обеспечения 
 
Таблица В.1 – Нормативная трудоемкость на разработку ПО в зависимости от 
уточненного объема ПО и категории сложности ПО (чел.-дн.) 
Объем ПО 
(строки 
исходного кода 
(LOC)), V, до у 
Категория сложности ПО Номер нормы 
 1-я 2-я 3-я  
1 2 3 4 5 
400 30 25 21 1 
420 31 26 22 2 
440 32 28 23 3 
470 34 29 25 4 
490 36 30 26 5 
520 38 32 27 6 
550 40 34 29 7 
580 42 35 30 8 
610 44 37 32 9 
640 46 39 33 10 
680 48 41 35 11 
710 50 43 36 12 
750 53 45 38 13 
790 56 47 40 14 
840 59 50 42 15 
880 61 52 44 16 
930 65 55 46 17 
980 68 57 49 18 
1040 72 61 51 19 
1090 75 63 53 20 
1150 79 66 56 21 
1210 82 69 59 22 
1280 87 73 62 23 
1350 91 77 65 24 
1420 95 80 68 25 
1500 100 85 71 26 
1580 105 89 75 27 
1670 111 93 79 28 
1760 116 98 83 29 
1850 122 102 86 30 
1960 128 108 91 31 
2060 134 113 95 32 
Продолжение таблицы В.1 
1 2 3 4 5 
2170 141 119 100 33 
2290 148 125 105 34 
2420 156 131 110 35 
2550 163 137 116 36 
2690 172 144 122 37 
2800 178 150 126 38 
2990 189 159 134 39 
3150 198 167 140 40 
3320 208 175 147 41 
3500 219 184 154 42 
3700 230 193 162 43 
3900 242 203 170 44 
4110 253 213 179 45 
4330 266 223 187 46 
4570 279 234 197 47 
4820 293 246 207 48 
5080 308 258 217 49 
5360 324 271 228 50 
5650 340 285 239 51 
5960 357 299 251 52 
6280 374 314 263 53 
6620 393 329 276 54 
6980 413 345 290 55 
7360 433 363 304 56 
7770 455 381 319 57 
8190 478 400 335 58 
8630 502 419 351 59 
9100 527 440 369 60 
9600 553 462 387 61 
10120 581 485 406 62 
10680 610 510 426 63 
11260 641 535 447 64 
11870 672 561 469 65 
12520 706 590 493 66 
13200 741 619 517 67 
13920 779 650 543 68 
14680 818 682 570 69 
15470 858 715 597 70 
16320 901 751 627 71 
17210 946 789 658 72 
18140 993 828 690 73 
19130 1043 869 725 74 
20170 1095 912 760 75 
21270 1150 957 798 76 
22430 1208 1005 838 77 
23650 1268 1055 879 78 
24940 1331 1108 922 79
Продолжение таблицы В.1 
1 2 3 4 5 
26300 1398 1163 968 80 
27730 1468 1220 1016 81 
29240 1541 1281 1066 82 
30830 1618 1345 1119 83 
32510 1699 1412 1174 84 
34290 1785 1482 1233 85 
36150 1873 1555 1293 86 
38120 1967 1633 1357 87 
40200 2066 1714 1424 88 
42390 2169 1799 1495 89 
44700 2278 1889 1569 90 
47130 2391 1983 1646 91 
49700 2511 2081 1728 92 
50000 2525 2093 1737 93
